t_rel_s,x,y,maneuver_state
17.100000,1278.061768,-82.585243,changing_left
17.150000,1278.062134,-82.585251,changing_left
17.200000,1278.062378,-82.585274,changing_left
17.250000,1278.062622,-82.585281,changing_left
17.300000,1278.062744,-82.585281,changing_left
17.350000,1278.062988,-82.585289,changing_left
17.400000,1278.063110,-82.585312,changing_left
17.450000,1278.063232,-82.585327,changing_left
17.500000,1278.063232,-82.585342,changing_left
17.550000,1278.063232,-82.585350,changing_left
17.600000,1278.063354,-82.585350,changing_left
17.650000,1278.063354,-82.585358,changing_left
17.700000,1278.063354,-82.585373,changing_left
17.750000,1278.063354,-82.585373,changing_left
17.800000,1278.063477,-82.585373,changing_left
17.850000,1278.063477,-82.585373,changing_left
17.900000,1278.063477,-82.585373,changing_left
17.950000,1278.063477,-82.585373,changing_left
18.000000,1278.063477,-82.585381,changing_left
18.050000,1278.063599,-82.585373,changing_left
18.100000,1278.063599,-82.585373,changing_left
18.150000,1278.063599,-82.585373,changing_left
18.200000,1278.063599,-82.585381,changing_left
18.250000,1278.063599,-82.585373,changing_left
18.300000,1278.063599,-82.585373,changing_left
18.350000,1278.063599,-82.585373,changing_left
18.400000,1278.063599,-82.585381,changing_left
18.450000,1278.063599,-82.585381,changing_left
18.500000,1278.063599,-82.585381,changing_left
18.550000,1278.063599,-82.585381,changing_left
18.600000,1278.063599,-82.585373,changing_left
18.650000,1278.063599,-82.585373,changing_left
18.700000,1278.063599,-82.585373,changing_left
18.750000,1278.063599,-82.585373,changing_left
18.800000,1278.063599,-82.585373,changing_left
18.850000,1278.063599,-82.585373,changing_left
18.900000,1278.063599,-82.585373,changing_left
18.950000,1278.063599,-82.585381,changing_left
19.000000,1278.063599,-82.585381,changing_left
19.050000,1278.063599,-82.585381,changing_left
19.100000,1278.063599,-82.585373,changing_left
19.150000,1278.063599,-82.585373,changing_left
19.200000,1278.063599,-82.585373,changing_left
19.250000,1278.063599,-82.585373,changing_left
19.300000,1278.063599,-82.585373,changing_left
19.350000,1278.063599,-82.585373,changing_left
19.400000,1278.063599,-82.585373,changing_left
19.450000,1278.063599,-82.585373,changing_left
19.500000,1278.063599,-82.585373,changing_left
19.550000,1278.063599,-82.585373,changing_left
19.600000,1278.063599,-82.585373,changing_left
19.650000,1278.063599,-82.585373,changing_left
19.700000,1278.063599,-82.585373,changing_left
19.750000,1278.063599,-82.585373,changing_left
19.800000,1278.063599,-82.585373,changing_left
19.850000,1278.063599,-82.585373,changing_left
19.900000,1278.063599,-82.585373,changing_left
19.950000,1278.063599,-82.585373,changing_left
20.000000,1278.063599,-82.585373,changing_left
20.050000,1278.063599,-82.585373,changing_left
20.100000,1278.063599,-82.585373,changing_left
20.150000,1278.063599,-82.585373,changing_left
20.200000,1278.063599,-82.585373,changing_left
20.250000,1278.063599,-82.585373,changing_left
20.300000,1278.063599,-82.585373,changing_left
20.350000,1278.063599,-82.585373,changing_left
20.400000,1278.063599,-82.585373,changing_left
20.450000,1278.063599,-82.585373,changing_left
20.500000,1278.063599,-82.585373,changing_left
20.550000,1278.063599,-82.585373,changing_left
20.600000,1278.063599,-82.585373,changing_left
20.650000,1278.063599,-82.585373,changing_left
20.700000,1278.063599,-82.585373,changing_left
20.750000,1278.063599,-82.585373,changing_left
20.800000,1278.063599,-82.585373,changing_left
20.850000,1278.063599,-82.585373,changing_left
20.900000,1278.063599,-82.585373,changing_left
20.950000,1278.063599,-82.585373,changing_left
21.000000,1278.063599,-82.585373,changing_left
21.050000,1278.063599,-82.585373,changing_left
21.100000,1278.063599,-82.585373,changing_left
21.150000,1278.063599,-82.585373,changing_left
21.200000,1278.063599,-82.585373,changing_left
21.250000,1278.063599,-82.585373,changing_left
21.300000,1278.063599,-82.585373,changing_left
21.350000,1278.063599,-82.585373,changing_left
21.400000,1278.063599,-82.585373,changing_left
21.450000,1278.063599,-82.585373,changing_left
21.500000,1278.063599,-82.585373,changing_left
21.550000,1278.063599,-82.585373,changing_left
21.600000,1278.063599,-82.585373,changing_left
21.650000,1278.063599,-82.585373,changing_left
21.700000,1278.063599,-82.585373,changing_left
21.750000,1278.063599,-82.585373,changing_left
21.800000,1278.063599,-82.585373,changing_left
21.850000,1278.063599,-82.585373,changing_left
21.900000,1278.063599,-82.585373,changing_left
21.950000,1278.063599,-82.585373,changing_left
22.000000,1278.063599,-82.585373,changing_left
22.050000,1278.063599,-82.585373,changing_left
22.100000,1278.063599,-82.585373,changing_left
22.150000,1278.063599,-82.585373,changing_left
22.200000,1278.063599,-82.585373,changing_left
22.250000,1278.063599,-82.585373,changing_left
22.300000,1278.063599,-82.585373,changing_left
22.350000,1278.063599,-82.585373,changing_left
22.400000,1278.063599,-82.585373,changing_left
22.450000,1278.063599,-82.585373,changing_left
22.500000,1278.063477,-82.585289,changing_left
22.550000,1278.065186,-82.586258,changing_left
22.600000,1278.068481,-82.587349,changing_left
22.650000,1278.072510,-82.589455,changing_left
22.700000,1278.079102,-82.592476,changing_left
22.750000,1278.090088,-82.597641,changing_left
22.800000,1278.107666,-82.606499,changing_left
22.850000,1278.130249,-82.617645,changing_left
22.900000,1278.157837,-82.631760,changing_left
22.950000,1278.189819,-82.648804,changing_left
23.000000,1278.227051,-82.669067,changing_left
23.050000,1278.265015,-82.690659,changing_left
23.100000,1278.304077,-82.713593,changing_left
23.150000,1278.344238,-82.738037,changing_left
23.200000,1278.385010,-82.763634,changing_left
23.250000,1278.426514,-82.790604,changing_left
23.300000,1278.468384,-82.818710,changing_left
23.350000,1278.510620,-82.848251,changing_left
23.400000,1278.553467,-82.878975,changing_left
23.450000,1278.596436,-82.911064,changing_left
23.500000,1278.639771,-82.944389,changing_left
23.550000,1278.685181,-82.980362,changing_left
23.600000,1278.734863,-83.021416,changing_left
23.650000,1278.789917,-83.068390,changing_left
23.700000,1278.851318,-83.121628,changing_left
23.750000,1278.918213,-83.182999,changing_left
23.800000,1278.991089,-83.253326,changing_left
23.850000,1279.068604,-83.332954,changing_left
23.900000,1279.149414,-83.421852,changing_left
23.950000,1279.233032,-83.520584,changing_left
24.000000,1279.318604,-83.629623,changing_left
24.050000,1279.411499,-83.746262,changing_left
24.100000,1279.520142,-83.865166,changing_left
24.150000,1279.641357,-83.984756,changing_left
24.200000,1279.771484,-84.102867,changing_left
24.250000,1279.909424,-84.216515,changing_left
24.300000,1280.053955,-84.323471,changing_left
24.350000,1280.204102,-84.422302,passing
24.400000,1280.359253,-84.511192,passing
24.450000,1280.519897,-84.591171,passing
24.500000,1280.687988,-84.662506,passing
24.550000,1280.864990,-84.724503,passing
24.600000,1281.051025,-84.775497,passing
24.650000,1281.242554,-84.812866,passing
24.700000,1281.438843,-84.840012,passing
24.750000,1281.639526,-84.862831,passing
24.800000,1281.843872,-84.884262,passing
24.850000,1282.050781,-84.905869,passing
24.900000,1282.259644,-84.924355,passing
24.950000,1282.470703,-84.942001,passing
25.000000,1282.681519,-84.961510,passing
25.050000,1282.888306,-84.979591,passing
25.100000,1283.088623,-84.997627,passing
25.150000,1283.281372,-85.012772,passing
25.200000,1283.465942,-85.025116,passing
25.250000,1283.643066,-85.035255,passing
25.300000,1283.812988,-85.047028,passing
25.350000,1283.977051,-85.059219,passing
25.400000,1284.136353,-85.071602,passing
25.450000,1284.292114,-85.083710,passing
25.500000,1284.446045,-85.095284,passing
25.550000,1284.599854,-85.106483,passing
25.600000,1284.754639,-85.117355,passing
25.650000,1284.910400,-85.127914,passing
25.700000,1285.067261,-85.138184,passing
25.750000,1285.225586,-85.148224,passing
25.800000,1285.387329,-85.158165,passing
25.850000,1285.554077,-85.172195,passing
25.900000,1285.728027,-85.185661,passing
25.950000,1285.909058,-85.198326,passing
26.000000,1286.097168,-85.210976,passing
26.050000,1286.292969,-85.227753,passing
26.100000,1286.493530,-85.247055,passing
26.150000,1286.695068,-85.262421,changing_right
26.200000,1286.896484,-85.270645,changing_right
26.250000,1287.094604,-85.267471,changing_right
26.300000,1287.285156,-85.251450,changing_right
26.350000,1287.466797,-85.222061,changing_right
26.400000,1287.642334,-85.182755,changing_right
26.450000,1287.817139,-85.137833,changing_right
26.500000,1287.996094,-85.091309,changing_right
26.550000,1288.182739,-85.046326,changing_right
26.600000,1288.373779,-85.000153,changing_right
26.650000,1288.565186,-84.956596,changing_right
26.700000,1288.755005,-84.914375,changing_right
26.750000,1288.943726,-84.871758,changing_right
26.800000,1289.132812,-84.827858,changing_right
26.850000,1289.322266,-84.782303,changing_right
26.900000,1289.513062,-84.740334,changing_right
26.950000,1289.705811,-84.700302,changing_right
27.000000,1289.899292,-84.660172,changing_right
27.050000,1290.091431,-84.620125,changing_right
27.100000,1290.282349,-84.580193,changing_right
27.150000,1290.471558,-84.545418,changing_right
27.200000,1290.656616,-84.513817,changing_right
27.250000,1290.837036,-84.482590,changing_right
27.300000,1291.014038,-84.452049,changing_right
27.350000,1291.186646,-84.422592,changing_right
27.400000,1291.354980,-84.394196,changing_right
27.450000,1291.520508,-84.366562,changing_right
27.500000,1291.684570,-84.339470,changing_right
27.550000,1291.849243,-84.314209,changing_right
27.600000,1292.015625,-84.289688,changing_right
27.650000,1292.183594,-84.265366,changing_right
27.700000,1292.353882,-84.241074,changing_right
27.750000,1292.527100,-84.216583,changing_right
27.800000,1292.702271,-84.192017,changing_right
27.850000,1292.877197,-84.167664,changing_right
27.900000,1293.051392,-84.143532,changing_right
27.950000,1293.225464,-84.119530,changing_right
28.000000,1293.400635,-84.095444,changing_right
28.050000,1293.575439,-84.071396,changing_right
28.100000,1293.748535,-84.047714,changing_right
28.150000,1293.920776,-84.024399,changing_right
28.200000,1294.093750,-84.001205,changing_right
28.250000,1294.266479,-83.978271,changing_right
28.300000,1294.438843,-83.955635,changing_right
28.350000,1294.609985,-83.933426,changing_right
28.400000,1294.779785,-83.911667,changing_right
28.450000,1294.947266,-83.890419,changing_right
28.500000,1295.113892,-83.870918,changing_right
28.550000,1295.281494,-83.852119,changing_right
28.600000,1295.451050,-83.833405,changing_right
28.650000,1295.622681,-83.814919,changing_right
28.700000,1295.796631,-83.796570,changing_right
28.750000,1295.974243,-83.777695,changing_right
28.800000,1296.156006,-83.758003,changing_right
28.850000,1296.342041,-83.737907,changing_right
28.900000,1296.530396,-83.717789,changing_right
28.950000,1296.716797,-83.698112,changing_right
29.000000,1296.899170,-83.679108,changing_right
29.050000,1297.077515,-83.660789,changing_right
29.100000,1297.253418,-83.643036,changing_right
29.150000,1297.426514,-83.625809,changing_right
29.200000,1297.597656,-83.610504,changing_right
29.250000,1297.768555,-83.596291,changing_right
29.300000,1297.939575,-83.582733,changing_right
29.350000,1298.109131,-83.568726,changing_right
29.400000,1298.277588,-83.554214,changing_right
29.450000,1298.446655,-83.539230,changing_right
29.500000,1298.616943,-83.523827,changing_right
29.550000,1298.790039,-83.507965,changing_right
29.600000,1298.966431,-83.492149,changing_right
29.650000,1299.144775,-83.476128,changing_right
29.700000,1299.324219,-83.459892,changing_right
29.750000,1299.502686,-83.443604,changing_right
29.800000,1299.680420,-83.427635,changing_right
29.850000,1299.858154,-83.414078,changing_right
29.900000,1300.036621,-83.401123,changing_right
29.950000,1300.215088,-83.387749,changing_right
30.000000,1300.393799,-83.373962,changing_right
30.050000,1300.573975,-83.359787,changing_right
30.100000,1300.754761,-83.345284,changing_right
30.150000,1300.934937,-83.332664,changing_right
30.200000,1301.114868,-83.320457,changing_right
30.250000,1301.297119,-83.308029,changing_right
30.300000,1301.484619,-83.295631,changing_right
30.350000,1301.675537,-83.282860,changing_right
30.400000,1301.866577,-83.269745,changing_right
30.450000,1302.055420,-83.256638,changing_right
30.500000,1302.239380,-83.243752,changing_right
30.550000,1302.417603,-83.231133,changing_right
30.600000,1302.591187,-83.218781,changing_right
30.650000,1302.763306,-83.208893,changing_right
30.700000,1302.935669,-83.199677,changing_right
30.750000,1303.108154,-83.190063,changing_right
30.800000,1303.279419,-83.180138,changing_right
30.850000,1303.449585,-83.169991,changing_right
30.900000,1303.619141,-83.159668,changing_right
30.950000,1303.789673,-83.150368,changing_right
31.000000,1303.961182,-83.141373,changing_right
